发布时间：2025-03-05；编辑人：郭继泽,,,,,,,
序号,元器件编码,规格,描述,,封装（参考）,单板数量,备注说明
1,YD01-037,22pF 50V,贴片电容,"C1,C5",C0805,2,
4,YD01-361,"4.7uF,50V",贴片电容,C4,C0805,1,
5,YD01-038,100nF 50V,贴片电容,"C3,C6,C7,C8,C10,C12,C13,C14,C15,C21,C22,C24,C27,C28，C16,C19，C17，C219,C221",C0805,19,
8,YD01-246,100uF 35V,插件电容,C18,Cap-6.3x9mm,1,
9,YD01-096,10uF 25V ,贴片电容,"C2,C20,C23,C25,C26,C29,C30,C220",C0805,8,
11,YD01-013,2.54-4P ZZDK,接插件,"CN2,CN3,DEBUG1,CN403",HDR-TH_4P-P2.50-V-F-2,4,
13,YD01-063,ZX-XH2.54-2PZZ,接插件,CN5,CONN-TH_2P-P2.50_HX25003-2A,1,
14,新申请,MX128-5.08-04P-GN01-Cu-Y-A,接插件,CN400,CONN-TH_4P-P5.08_MX128-5.08-04P-GN01-CU-Y-A,1,https://item.szlcsc.com/6031580.html?fromZone=l_c__%2522catalog%2522&spm=sc.cid.xh2.zy.n___sc.gb.xh2.zy.l&lcsc_vid=EVNYU1BVFAUKA1FeQ1hfVVICRAVcVFJQFlNZU1ZeQAQxVlNSRlBYUV1QT1VZUzsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D
16,YD01-083,SMBJ6.8CA,TVS,"D1,D2,D3",SMB_L4.6-W3.6-LS5.3-BI,3,
17,YD01-526,1N4148WS,二极管,"D4,D5",SOD-323_L1.8-W1.3-LS2.5-RD,2,
18,YD01-015,元器件*接插件5.08-2A,接插件,"P1,P2",CONN-TH_2P-P5.00_WJ500V-5.08-2P,2,
19,YD01-232,AO3401A-VB,三极管,Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,
20,YD01-240,SS8050,三极管,"Q2,Q3,Q4",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,3,
21,YD01-086,100kΩ,贴片电阻,"R1,R2,R12,R13,R14,R31,R35,R36,R212",R0805,9,
22,YD01-636,4.7kΩ,贴片电阻,"R3,R4",R0805,2,
23,YD01-369,470Ω,贴片电阻,"R5,R8",R0805,2,
24,YD01-042,1kΩ,贴片电阻,"R6,R9,R32,R33,R34,R211",R0805,6,
25,YD01-255,10Ω,贴片电阻,"R7,R11",R0805_NEW,2,
26,YD01-508,120Ω,贴片电阻,R10,R0805,1,
27,YD01-154,10kΩ,贴片电阻,"R15,R16",R0805,2,
28,YD01-271,330Ω,贴片电阻,R18,R0805,1,
29,YD01-128,100Ω (1000),贴片电阻,"R20,R21",R0805,2,
30,YD01-042,1KΩ (1001),贴片电阻,"R22,R23,R24,R25，R26,R27",R0805,6,
32,YD01-156,0Ω,贴片电阻,"R28,R37",R1206,2,
34,YD01-216,5.1Ω,贴片电阻,R39,R0805,1,
35,YD01-154,10K,贴片电阻,"R210,R213",R0805,2,
36,YD01-127,5.1K,贴片电阻,R214,R0805,1,
37,YD01-030,SRD-05VDC-SL-C,继电器,"RLY1,RLY2",RELAY-TH_SRD-XXVDC-XL-C,2,
38,YD01-174,FM33LC013N,mcu,U1,QFN-32_L5.0-W5.0-P0.50-BL-EP3.1,1,
39,YD01-026,SP485EN-L/TR,RS485芯片,U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,
40,YD01-025,ADS1115IDGSR,ADC芯片,U4,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,1,
41,YD01-597,LSM6DS3TR,倾角芯片,U5,LGA-14_L3.0-W2.5-P0.50-TL,1,
42,YB01-081,AM21-5W05V,acdc模块,U6,AM21-3W-V,1,
43,YN01-101,AP05N15-Zero,acdc模块,U7,PWRM-TH_AP05N15-ZERO,1,
44,YD01-048,AMS1117-3.3,LDO,"U8,U10",SOT-223,2,
47,YD01-756,8MHz,晶振,X1,OSC-TH_L10.0-W4.5-P5.00,1,
48,,NVXXXDS,,Y1,SOP-8_150mil,1,后采
45,,2.54-6P ZZDK(NC),接插件,U9,HDR-TH_6P-P2.50-V-F-2,1,
46,,HX 2.0mm-6P ZZ(NC),接插件,U26,CONN-TH_6P-P2.00_HX-2.0MM-6P-ZZ,1,
12,,SMT-PH2.0-2P（NC）,接插件,CN4,CONN-PH2.0-2P,1,
33,,0Ω_NC,贴片电阻,"R29,R30",R1206,2,
49,,,,,,,
