发布时间：2025-08-18；编辑人：郭继泽,,,,,,,
序号,元器件编码,规格,描述,位号,封装（参考）,单板数量,备注说明
1,YD01-038,0.1uF,电容,"C57,C59,C80,C210,C211,C213,C214,C67,C70,C71,C72,C73,C74,C86,C203,C204,C205,C206,C209,C25,C34,C43,C52,C8,C10,C12,C14,C16,C18",0805,29,
2,YD01-1805,12pF,电容,"C64,C65",0805,2,
3,YD01-1792,33nF,电容,"C27,C36,C45,C54,C60,C61,C62,C63",0805,8,
4,YD01-198,10pF,电容,"C28,C37,C46,C55",0603,4,
5,YD01-259,20pF,电容,"C66,C68",0805,2,
6,YD01-138,10nF,电容,"C26,C35,C44,C53,C81,C82,C83,C84",0805,8,
7,YD01-137,1uF,电容,"C69,C56,C58,C21,C22,C30,C31,C39,C40,C48,C49",0805,11,
8,YD01-404,1nF,电容,"C23,C32,C41,C50",0805,4,
9,YD01-096,10uF 25V,电容,"C24,C33,C42,C51，C85，C7,C9,C11,C13,C15,C17,C19",0805,12,
10,YD01-199,22nF,电容,"C20,C29,C38,C47",0805,4,
11,,680uF,电容,U20,,1,
12,YD01-234,100uF,电容,C75,,1,
13,YD01-457,220uF,电容,C212,,1,
14,YD01-532,22kΩ,电阻,"R10,R17,R24,R31",0805,4,
15,YD01-006,0 5%,电阻,"R244,R245",1206,2,
16,YD01-086,100kΩ 1%,电阻,"R54,R55,R56,R59,R238,R239,R240,R160",0805,8,
17,YD01-077,2kΩ,电阻,"R9,R16,R23,R30",0805,4,
18,YD01-1026,18kΩ,电阻,"R8,R15,R22,R29",0805,4,
19,YD01-128,100Ω 1%,电阻,"R32,R33,R34,R35，R7,R14,R21,R28,R36,R37,R38,R39",0805,12,
20,新申请,7.5kΩ,电阻,"R6,R13,R20,R27",0805,4,
21,YD01-636,4.7KΩ(4701),电阻,"R51,R52",0805,2,
22,YD01-1714,1.5kΩ,电阻,R3,0805,1,
23,YD01-084,0 5%,电阻,"R242,R247，R226,R227",0805,4,
24,YD01-369,470 1%,电阻,"R216，R217,R218",0805,3,
25,YD01-042,1kΩ 1%,电阻,"R229，R57,R58,R75,R102,R105,R219,R241，R220,R237，R159",0805,10,
26,YD01-154,10K 1%,电阻,"R228，R44,R45",0805,3,
27,YD01-255,10Ω 1%,电阻,"R103,R108",0805,2,
28,YD01-508,120Ω 1%,电阻,R106,0805,1,
29,YD01-273,3.9kΩ,电阻,"R5,R12,R19,R26",0805,4,
30,YD0-1735,160kΩ,电阻,"R4,R11,R18,R25",,4,
31,YD01-749,33uH,电感,L6,,1,
32,YD01-526,1N4148WS,二极管,D27,SOD-323,1,
33,YD01-044,SS54,二极管,D7,SMA(DO-214AC),1,
34,YD01-204,红灯0805,发光二极管,"U202,LED5",0805,2,
35,YD01-041,S8050-J3Y,三极管,"Q6,Q2",SOT-23,2,
36,YD01-034,SS34,三极管,D28,SMA(DO-214AC),1,
37,YD01-232,AO3401A,MOS管,Q1,SOT-23,1,
38,新申请,SMAJ13CA,TVS,U204,DO-214AC(SMA),1,
39,YD01-083,SMBJ6.8CA,TVS,"D13,D14,D15",,3,
40,BC01-1018,中移DTU,串口转4G,JP1,,1,
41,YF01-010,4G卡,,,,,
42,YD01-855,USR-TCP232-T1,串口转网口,U203,,1,
43,YD01-030,SRD-05VDC-SL-C,继电器,RLY10,,1,
44,YD01-013,ZX-XH2.54-2PZZ,接插件,"CN2,CN4,CN5,CN6，J1，J2,J3,J4，CON4",,9,
45,新申请,HX2.54mm-12PZZ,接插件,U10,2.54mm12p,1,
46,YD01-756,49US-8M,晶振,G1,,1,
47,YD01-755,32.768kHz,晶振,X1,,1,
48,YD01-026,SP485REN-L/TR,芯片,U24,SOIC-8,1,
49,YD01-394,AMS1117-5.0,芯片,"VR2,VR3",SOT-223,2,
50,YD01-048,AMS1117-3.3,芯片,VR1,SOT-223,1,
51,YD01-750,STM32F103RCT6,芯片,U5,,1,
52,YD01-823,LM4040D25FTA,芯片,U2,,1,
53,YD01-751,LM2596S-5.0,芯片,U19,,1,
54,YD01-856,OPA2333AIDR,芯片,"U6,U7,U8,U9",,4,
55,YD01-028,SP3232,芯片,U201,,1,
56,YD01-1776,ADC128S102CIMTX/NOPB,芯片,U3,,1,
,,,,,,,
57,,NULL,,"R243,R248，R53，R60,R61",,5,
